font_size,font_is_bold,norm_x0,norm_y0,word_count,char_count,uppercase_ratio,ends_with_punctuation,numbering_pattern,node_degree,avg_neighbor_distance,font_size_ratio,bold_vs_neighbors,space_above,indentation_vs_below,page_idx,node_idx,text_snippet
24.0,0,0.4128267874125562,0.23941922428632023,1,8,0.125,0,0,4,243.93808125080872,1.5009380854087517,0,0.0,-181.70599365234375,1,0,Overview 
24.0,0,0.22768953111436632,0.3091464957805595,3,27,0.1111111111111111,0,0,4,202.5581604708211,1.5009380854087517,0,55.2239990234375,-68.40199279785156,1,1,Foundation Level Extensions 
12.0,0,0.4504738601983762,0.48286619090070626,2,11,0.09090909090909091,0,0,4,169.93539887945468,0.6319115320681212,0,137.58599853515625,-204.74600219726562,1,2,Version 1.0 
18.0,0,0.16885620316648794,0.5880050273856732,5,51,0.09803921568627451,0,0,4,191.7945132885234,1.0291595191643894,0,83.26995849609375,-32.39599609375,1,3,International Software Testing Qualifications Boar
9.960000038146973,0,0.11592156902637357,0.8235936791005761,18,110,0.02727272727272727,1,0,4,333.66462331148176,0.5107692327254858,0,186.58621215820312,0.0,1,4,Copyright Notice 
10.251428604125977,0,0.1216078490213631,0.04877047105268999,11,96,0.10416666666666667,0,0,4,413.7123684951531,1.1428571428571428,0,0.0,2.1599960327148438,2,0,International 
9.960000038146973,0,0.8064506381165748,0.07786135240034624,1,5,0.2,0,0,4,475.78928365347014,1.10142180184754,0,23.03997802734375,-416.9637908935547,2,1,Board 
9.960000038146973,0,0.11592156902637357,0.1519775294294261,10,92,0.11956521739130435,1,0,4,384.44225232993006,1.10142180184754,0,58.70001220703125,5.6399993896484375,2,2,Copyright © International Software Testing Qualifi
9.960000038146973,0,0.12513294095307395,0.9074284717290089,9,38,0.07894736842105263,0,0,4,528.3689272846218,1.10142180184754,0,598.3171463012695,0.0026397705078125,2,3,Version 2014 
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.09433962264150944,0,0,4,562.2499715792512,0.5980350255732696,0,18.2066650390625,0.0,2,4,© International Software Testing Qualifications Bo
9.960000038146973,0,0.7038398692810458,0.07786135240034624,2,20,0.1,0,0,4,354.4674336636367,0.8627111309318664,0,23.03997802734375,-354.16600036621094,3,0,Qualifications Board 
10.300000031789144,0,0.1216078490213631,0.04877047105268999,10,81,0.1111111111111111,0,0,5,370.4023432052133,0.9934413581666397,0,0.0,2.1599960327148438,3,1,International 
15.960000038146973,0,0.11592156902637357,0.13754571086228495,2,16,0.125,0,0,5,388.3185924201598,1.7280207868784383,0,47.27001190185547,5.6399993896484375,3,2,Revision History 
9.960000038146973,0,0.1216078490213631,0.17606846973149462,53,298,0.1174496644295302,0,0,5,326.9389976928825,0.9543886556376877,0,30.510025024414062,2.1599960327148438,3,3,Version 
9.960000038146973,0,0.1251372543035769,0.9074337891858033,9,38,0.07894736842105263,0,0,5,535.8453901523362,0.9543886556376877,0,579.2413330078125,-5.6399993896484375,3,4,Version 2014 
6.0,0,0.1251372543035769,0.9304166851621686,6,53,0.09433962264150944,0,0,4,514.9945260871125,0.5197054985708842,0,18.20245361328125,0.0,3,5,© International Software Testing Qualifications Bo
9.960000038146973,0,0.24807058596143536,0.18273509632457385,1,138,0.0,1,0,7,75.43323690596564,0.9958374143930968,0,83.06000518798828,341.7285919189453,4,0,..................................................
9.960000038146973,0,0.25708666034773286,0.20470497824928977,1,136,0.0,1,0,8,80.95567256833834,0.9963558414537205,0,17.400146484375,336.21075439453125,4,1,..................................................
9.960000038146973,0,0.5277318019492954,0.22682575264362373,1,76,0.0,1,0,6,92.22472618437727,1.0,0,17.5196533203125,170.575927734375,4,2,..................................................
9.960000038146973,0,0.586385141011157,0.2489465270379577,1,63,0.0,1,0,5,94.23505901201845,1.0,0,17.5196533203125,134.68008422851562,4,3,..................................................
9.960000038146973,0,0.31534945419411253,0.2712181939019097,6,677,0.0,1,0,7,82.34753413932005,1.0,0,17.63916015625,221.08212280273438,4,4,..................................................
9.960000038146973,0,0.6765947528913909,0.3658256916084675,1,41,0.0,1,0,4,116.71739116468146,1.0,0,74.92913818359375,-267.177001953125,4,5,......................................... 
9.960000038146973,0,0.24003102420981415,0.3880973584724195,2,246,0.0,1,0,7,54.984279554827104,1.0,0,17.63916015625,20.16900634765625,4,6,..................................................
9.960000038146973,0,0.2390545614404616,0.42446645100911456,1,138,0.0,1,0,5,29.897725850241663,1.0,0,28.8043212890625,-65.39736938476562,4,7,..................................................
9.960000038146973,0,0.27298691693474264,0.4467381178730666,2,229,0.0,1,0,6,157.37511355138986,1.0709677423765402,0,17.63916015625,-90.48399353027344,4,8,..................................................
